S.No,System of Medicine,"Registration of Practitioners under Tamil Nadu Board of Indian Medicine, Chennai as on 01.01.2019","Registration of Practitioners under Board of Integrated Medicine, Chennai as on 01.01.2019","Registration of Practitioners under Tamil Nadu Homeopathy Medical Council, Chennai as on 01.01.2019","Registration of Practitioners under Tamil Nadu Siddha Medical Council, Chennai as on 01.01.2019"
1,Siddha,NA,NA,NA,9878
2,Ayurveda,2616,NA,NA,NA
3,Unani,789,NA,NA,NA
4,Yoga and Naturopathy,962,NA,NA,NA
5,Homeopathy,NA,NA,6375,NA
Total,Total,4367,NA,6375,9878
